2022-06-23 07:22:18 startup archives unpack
2022-06-23 07:22:18 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2022-06-23 07:22:18 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-06-23 07:22:19 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-06-23 07:22:19 install libgdbm6:amd64 <none> 1.19-2
2022-06-23 07:22:19 status triggers-pending libc-bin:amd64 2.31-13+deb11u3
2022-06-23 07:22:19 status half-installed libgdbm6:amd64 1.19-2
2022-06-23 07:22:19 status unpacked libgdbm6:amd64 1.19-2
2022-06-23 07:22:19 install libgdbm-compat4:amd64 <none> 1.19-2
2022-06-23 07:22:19 status half-installed libgdbm-compat4:amd64 1.19-2
2022-06-23 07:22:19 status unpacked libgdbm-compat4:amd64 1.19-2
2022-06-23 07:22:19 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2022-06-23 07:22:19 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2022-06-23 07:22:19 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-06-23 07:22:19 install perl:amd64 <none> 5.32.1-4+deb11u2
2022-06-23 07:22:19 status half-installed perl:amd64 5.32.1-4+deb11u2
2022-06-23 07:22:19 status unpacked perl:amd64 5.32.1-4+deb11u2
2022-06-23 07:22:19 install bzip2:amd64 <none> 1.0.8-4
2022-06-23 07:22:19 status half-installed bzip2:amd64 1.0.8-4
2022-06-23 07:22:19 status unpacked bzip2:amd64 1.0.8-4
2022-06-23 07:22:19 install openssl:amd64 <none> 1.1.1n-0+deb11u2
2022-06-23 07:22:19 status half-installed openssl:amd64 1.1.1n-0+deb11u2
2022-06-23 07:22:19 status unpacked openssl:amd64 1.1.1n-0+deb11u2
2022-06-23 07:22:19 install ca-certificates:all <none> 20210119
2022-06-23 07:22:19 status half-installed ca-certificates:all 20210119
2022-06-23 07:22:19 status unpacked ca-certificates:all 20210119
2022-06-23 07:22:19 install libmagic-mgc:amd64 <none> 1:5.39-3
2022-06-23 07:22:19 status half-installed libmagic-mgc:amd64 1:5.39-3
2022-06-23 07:22:19 status unpacked libmagic-mgc:amd64 1:5.39-3
2022-06-23 07:22:19 install libmagic1:amd64 <none> 1:5.39-3
2022-06-23 07:22:19 status half-installed libmagic1:amd64 1:5.39-3
2022-06-23 07:22:19 status unpacked libmagic1:amd64 1:5.39-3
2022-06-23 07:22:20 install file:amd64 <none> 1:5.39-3
2022-06-23 07:22:20 status half-installed file:amd64 1:5.39-3
2022-06-23 07:22:20 status unpacked file:amd64 1:5.39-3
2022-06-23 07:22:20 install xz-utils:amd64 <none> 5.2.5-2.1~deb11u1
2022-06-23 07:22:20 status half-installed xz-utils:amd64 5.2.5-2.1~deb11u1
2022-06-23 07:22:20 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2022-06-23 07:22:20 install libsigsegv2:amd64 <none> 2.13-1
2022-06-23 07:22:20 status half-installed libsigsegv2:amd64 2.13-1
2022-06-23 07:22:20 status unpacked libsigsegv2:amd64 2.13-1
2022-06-23 07:22:20 install m4:amd64 <none> 1.4.18-5
2022-06-23 07:22:20 status half-installed m4:amd64 1.4.18-5
2022-06-23 07:22:20 status unpacked m4:amd64 1.4.18-5
2022-06-23 07:22:20 install autoconf:all <none> 2.69-14
2022-06-23 07:22:20 status half-installed autoconf:all 2.69-14
2022-06-23 07:22:20 status unpacked autoconf:all 2.69-14
2022-06-23 07:22:20 install binutils-common:amd64 <none> 2.35.2-2
2022-06-23 07:22:20 status half-installed binutils-common:amd64 2.35.2-2
2022-06-23 07:22:20 status unpacked binutils-common:amd64 2.35.2-2
2022-06-23 07:22:20 install libbinutils:amd64 <none> 2.35.2-2
2022-06-23 07:22:20 status half-installed libbinutils:amd64 2.35.2-2
2022-06-23 07:22:20 status unpacked libbinutils:amd64 2.35.2-2
2022-06-23 07:22:20 install libctf-nobfd0:amd64 <none> 2.35.2-2
2022-06-23 07:22:20 status half-installed libctf-nobfd0:amd64 2.35.2-2
2022-06-23 07:22:20 status unpacked libctf-nobfd0:amd64 2.35.2-2
2022-06-23 07:22:20 install libctf0:amd64 <none> 2.35.2-2
2022-06-23 07:22:20 status half-installed libctf0:amd64 2.35.2-2
2022-06-23 07:22:20 status unpacked libctf0:amd64 2.35.2-2
2022-06-23 07:22:20 install binutils-x86-64-linux-gnu:amd64 <none> 2.35.2-2
2022-06-23 07:22:20 status half-installed binutils-x86-64-linux-gnu:amd64 2.35.2-2
2022-06-23 07:22:20 status unpacked binutils-x86-64-linux-gnu:amd64 2.35.2-2
2022-06-23 07:22:20 install binutils:amd64 <none> 2.35.2-2
2022-06-23 07:22:20 status half-installed binutils:amd64 2.35.2-2
2022-06-23 07:22:20 status unpacked binutils:amd64 2.35.2-2
2022-06-23 07:22:20 install libisl23:amd64 <none> 0.23-1
2022-06-23 07:22:20 status half-installed libisl23:amd64 0.23-1
2022-06-23 07:22:20 status unpacked libisl23:amd64 0.23-1
2022-06-23 07:22:21 install libmpfr6:amd64 <none> 4.1.0-3
2022-06-23 07:22:21 status half-installed libmpfr6:amd64 4.1.0-3
2022-06-23 07:22:21 status unpacked libmpfr6:amd64 4.1.0-3
2022-06-23 07:22:21 install libmpc3:amd64 <none> 1.2.0-1
2022-06-23 07:22:21 status half-installed libmpc3:amd64 1.2.0-1
2022-06-23 07:22:21 status unpacked libmpc3:amd64 1.2.0-1
2022-06-23 07:22:21 install cpp-10:amd64 <none> 10.2.1-6
2022-06-23 07:22:21 status half-installed cpp-10:amd64 10.2.1-6
2022-06-23 07:22:21 status unpacked cpp-10:amd64 10.2.1-6
2022-06-23 07:22:21 install cpp:amd64 <none> 4:10.2.1-1
2022-06-23 07:22:21 status half-installed cpp:amd64 4:10.2.1-1
2022-06-23 07:22:21 status unpacked cpp:amd64 4:10.2.1-1
2022-06-23 07:22:21 install libbrotli1:amd64 <none> 1.0.9-2+b2
2022-06-23 07:22:21 status half-installed libbrotli1:amd64 1.0.9-2+b2
2022-06-23 07:22:21 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-06-23 07:22:21 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:21 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:22 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:22 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:22 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:22 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:22 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2022-06-23 07:22:22 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-06-23 07:22:22 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-06-23 07:22:22 install libnghttp2-14:amd64 <none> 1.43.0-1
2022-06-23 07:22:22 status half-installed libnghttp2-14:amd64 1.43.0-1
2022-06-23 07:22:22 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-06-23 07:22:22 install libpsl5:amd64 <none> 0.21.0-1.2
2022-06-23 07:22:22 status half-installed libpsl5:amd64 0.21.0-1.2
2022-06-23 07:22:22 status unpacked libpsl5:amd64 0.21.0-1.2
2022-06-23 07:22:22 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2022-06-23 07:22:22 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-06-23 07:22:22 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-06-23 07:22:22 install libssh2-1:amd64 <none> 1.9.0-2
2022-06-23 07:22:22 status half-installed libssh2-1:amd64 1.9.0-2
2022-06-23 07:22:22 status unpacked libssh2-1:amd64 1.9.0-2
2022-06-23 07:22:22 install libcurl4:amd64 <none> 7.74.0-1.3+deb11u1
2022-06-23 07:22:22 status half-installed libcurl4:amd64 7.74.0-1.3+deb11u1
2022-06-23 07:22:22 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u1
2022-06-23 07:22:22 install curl:amd64 <none> 7.74.0-1.3+deb11u1
